car_name,model,origin,mpg,cylinders,displacement,horsepower,weight,acceleration
chevrolet chevelle malibu,70,1,18.0,8,307.0,130,3504,12.0
buick skylark 320,70,1,15.0,8,350.0,165,3693,11.5
plymouth satellite,70,1,18.0,8,318.0,150,3436,11.0
amc rebel sst,70,1,16.0,8,304.0,150,3433,12.0
ford torino,70,1,17.0,8,302.0,140,3449,10.5
ford galaxie 500,70,1,15.0,8,429.0,198,4341,10.0
chevrolet impala,70,1,14.0,8,454.0,220,4354,9.0
plymouth fury iii,70,1,14.0,8,440.0,215,4312,8.5
pontiac catalina,70,1,14.0,8,455.0,225,4425,10.0
amc ambassador dpl,70,1,15.0,8,390.0,190,3850,8.5
dodge challenger se,70,1,15.0,8,383.0,170,3563,10.0
plymouth 'cuda 340,70,1,14.0,8,340.0,160,3609,8.0
chevrolet monte carlo,70,1,15.0,8,400.0,150,3761,9.5
buick estate wagon (sw),70,1,14.0,8,455.0,225,3086,10.0
toyota corona mark ii,70,3,24.0,4,113.0,95,2372,15.0
plymouth duster,70,1,22.0,6,198.0,95,2833,15.5
amc hornet,70,1,18.0,6,199.0,97,2774,15.5
ford maverick,70,1,21.0,6,200.0,85,2587,16.0
datsun pl510,70,3,27.0,4,97.0,88,2130,14.5
volkswagen 1131 deluxe sedan,70,2,26.0,4,97.0,46,1835,20.5
peugeot 504,70,2,25.0,4,110.0,87,2672,17.5
audi 100 ls,70,2,24.0,4,107.0,90,2430,14.5
saab 99e,70,2,25.0,4,104.0,95,2375,17.5
bmw 2002,70,2,26.0,4,121.0,113,2234,12.5
amc gremlin,70,1,21.0,6,199.0,90,2648,15.0
ford f250,70,1,10.0,8,360.0,215,4615,14.0
chevy c20,70,1,10.0,8,307.0,200,4376,15.0
dodge d200,70,1,11.0,8,318.0,210,4382,13.5
hi 1200d,70,1,9.0,8,304.0,193,4732,18.5
datsun pl510,71,3,27.0,4,97.0,88,2130,14.5
chevrolet vega 2300,71,1,28.0,4,140.0,90,2264,15.5
toyota corona,71,3,25.0,4,113.0,95,2228,14.0
ford pinto,71,1,25.0,4,98.0,?,2046,19.0
amc gremlin,71,1,19.0,6,232.0,100,2634,13.0
plymouth satellite custom,71,1,16.0,6,225.0,105,3439,15.5
chevrolet chevelle malibu,71,1,17.0,6,250.0,100,3329,15.5
ford torino 500,71,1,19.0,6,250.0,88,3302,15.5
amc matador,71,1,18.0,6,232.0,100,3288,15.5
chevrolet impala,71,1,14.0,8,350.0,165,4209,12.0
pontiac catalina brougham,71,1,14.0,8,400.0,175,4464,11.5
ford galaxie 500,71,1,14.0,8,351.0,153,4154,13.5
plymouth fury iii,71,1,14.0,8,318.0,150,4096,13.0
dodge monaco (sw),71,1,12.0,8,383.0,180,4955,11.5
ford country squire (sw),71,1,13.0,8,400.0,170,4746,12.0
pontiac safari (sw),71,1,13.0,8,400.0,175,5140,12.0
amc hornet sportabout (sw),71,1,18.0,6,258.0,110,2962,13.5
chevrolet vega (sw),71,1,22.0,4,140.0,72,2408,19.0
pontiac firebird,71,1,19.0,6,250.0,100,3282,15.0
ford mustang,71,1,18.0,6,250.0,88,3139,14.5
mercury capri 2000,71,1,23.0,4,122.0,86,2220,14.0
opel 1900,71,2,28.0,4,116.0,90,2123,14.0
peugeot 304,71,2,30.0,4,79.0,70,2074,19.5
fiat 124b,71,2,30.0,4,88.0,76,2065,14.5
toyota corolla 1200,71,3,31.0,4,71.0,65,1773,19.0
datsun 1200,71,3,35.0,4,72.0,69,1613,18.0
volkswagen model 111,71,2,27.0,4,97.0,60,1834,19.0
plymouth cricket,71,1,26.0,4,91.0,70,1955,20.5
toyota corona hardtop,72,3,24.0,4,113.0,95,2278,15.5
dodge colt hardtop,72,1,25.0,4,97.5,80,2126,17.0
volkswagen type 3,72,2,23.0,4,97.0,54,2254,23.5
chevrolet vega,72,1,20.0,4,140.0,90,2408,19.5
ford pinto runabout,72,1,21.0,4,122.0,86,2226,16.5
chevrolet impala,72,1,13.0,8,350.0,165,4274,12.0
pontiac catalina,72,1,14.0,8,400.0,175,4385,12.0
plymouth fury iii,72,1,15.0,8,318.0,150,4135,13.5
ford galaxie 500,72,1,14.0,8,351.0,153,4129,13.0
amc ambassador sst,72,1,17.0,8,304.0,150,3672,11.5
mercury marquis,72,1,11.0,8,429.0,208,4633,11.0
buick lesabre custom,72,1,13.0,8,350.0,155,4502,13.5
oldsmobile delta 88 royale,72,1,12.0,8,350.0,160,4456,13.5
chrysler newport royal,72,1,13.0,8,400.0,190,4422,12.5
mazda rx2 coupe,72,3,19.0,3,70.0,97,2330,13.5
amc matador (sw),72,1,15.0,8,304.0,150,3892,12.5
chevrolet chevelle concours (sw),72,1,13.0,8,307.0,130,4098,14.0
ford gran torino (sw),72,1,13.0,8,302.0,140,4294,16.0
plymouth satellite custom (sw),72,1,14.0,8,318.0,150,4077,14.0
volvo 145e (sw),72,2,18.0,4,121.0,112,2933,14.5
volkswagen 411 (sw),72,2,22.0,4,121.0,76,2511,18.0
peugeot 504 (sw),72,2,21.0,4,120.0,87,2979,19.5
renault 12 (sw),72,2,26.0,4,96.0,69,2189,18.0
ford pinto (sw),72,1,22.0,4,122.0,86,2395,16.0
datsun 510 (sw),72,3,28.0,4,97.0,92,2288,17.0
toyouta corona mark ii (sw),72,3,23.0,4,120.0,97,2506,14.5
dodge colt (sw),72,1,28.0,4,98.0,80,2164,15.0
toyota corolla 1600 (sw),72,3,27.0,4,97.0,88,2100,16.5
buick century 350,73,1,13.0,8,350.0,175,4100,13.0
amc matador,73,1,14.0,8,304.0,150,3672,11.5
chevrolet malibu,73,1,13.0,8,350.0,145,3988,13.0
ford gran torino,73,1,14.0,8,302.0,137,4042,14.5
dodge coronet custom,73,1,15.0,8,318.0,150,3777,12.5
mercury marquis brougham,73,1,12.0,8,429.0,198,4952,11.5
chevrolet caprice classic,73,1,13.0,8,400.0,150,4464,12.0
ford ltd,73,1,13.0,8,351.0,158,4363,13.0
plymouth fury gran sedan,73,1,14.0,8,318.0,150,4237,14.5
chrysler new yorker brougham,73,1,13.0,8,440.0,215,4735,11.0
buick electra 225 custom,73,1,12.0,8,455.0,225,4951,11.0
amc ambassador brougham,73,1,13.0,8,360.0,175,3821,11.0
plymouth valiant,73,1,18.0,6,225.0,105,3121,16.5
chevrolet nova custom,73,1,16.0,6,250.0,100,3278,18.0
amc hornet,73,1,18.0,6,232.0,100,2945,16.0
ford maverick,73,1,18.0,6,250.0,88,3021,16.5
plymouth duster,73,1,23.0,6,198.0,95,2904,16.0
volkswagen super beetle,73,2,26.0,4,97.0,46,1950,21.0
chevrolet impala,73,1,11.0,8,400.0,150,4997,14.0
ford country,73,1,12.0,8,400.0,167,4906,12.5
plymouth custom suburb,73,1,13.0,8,360.0,170,4654,13.0
oldsmobile vista cruiser,73,1,12.0,8,350.0,180,4499,12.5
amc gremlin,73,1,18.0,6,232.0,100,2789,15.0
toyota carina,73,3,20.0,4,97.0,88,2279,19.0
chevrolet vega,73,1,21.0,4,140.0,72,2401,19.5
